"Design value to translate",翻訳する設計値
"The list of tasks is empty. Add tasks and try again.",タスクのリストが空です。タスクを追加してもう一度試してみてください。
"The command shouldn't be empty. Enter and try again.",コマンドが空ではないはずです。入力して再試行してください。
"Error during saving of crontab: %1","crontab の保存中にエラーが発生しました。%1"
"Your operating system is not supported to work with this command",お使いのオペレーティング・システムは、このコマンドを実行するためにサポートされていません。
"'Compilation from source: LESS file is empty: ' .","'ソースからのコンパイル。'ソースからのコンパイル: LESSファイルが空です: ' ."
"Multiple queries can't be executed. Run a single query and try again.",複数のクエリを実行できません。1つのクエリを実行して、もう一度試してみてください。
"The select object must have the correct ""FROM"" part. Verify and try again.","SELECTオブジェクトには、正しい ""FROM ""部分が必要です。確認してから再度実行してください。"
"The ""db object"" isn't set in config. Set the ""db object"" and try again.","dbオブジェクト ""が設定されていません。dbオブジェクト」を設定して、もう一度試してみてください。"
"The node information is empty. Enter the information and try again.",ノード情報が空です。情報を入力して再度試してみてください。
"The encryption key can't be empty. Enter the key and try again.",暗号化キーを空にすることはできません。キーを入力して再試行してください。
"""%2"" is an invalid format of ""%1"" group. Verify the format and try again.","""%2 ""は""%1 ""グループの無効な形式です。フォーマットを確認して、もう一度試してください。"
"The ""%1"" is not in the nested set of ""%2"", causing the parent-child relation to break. Verify and try again.","""%1"" が ""%2"" の入れ子になっているセットにないため、親子関係が壊れています。検証して、もう一度試してください。"
"The ""%1"" format of children is invalid. Verify and try again.","子の ""%1"" フォーマットは無効です。検証してから再度試してください。"
"The ""%1"" doesn't have ""%2"" as parent, causing the parent-child relation to break. Verify and try again.","""%1"" に ""%2"" が親として含まれていないので、親子関係が壊れています。検証してから再度試してください。"
"An element with a ""%1"" ID already exists.","""%1"" ID を持つ要素は既に存在します。"
"An element with a ""%1"" ID is already defined.","""%1"" ID を持つ要素は既に定義されています。"
"The ""%1"" was incorrectly set as a child to itself. Resolve the issue and try again.","""%1"" がそれ自身の子として誤って設定されました。問題を解決してから、もう一度試してください。"
"The ""%3"" cannot be set as child to ""%1"" because ""%1"" is a parent of ""%2"" recursively. Resolve the issue and try again.","""%1"" が再帰的に ""%2"" の親なので、""%3"" を ""%1"" の子として設定できません。問題を解決してから、もう一度試してください。"
"The ""%1"" is not a child of ""%2"". Resolve the issue and try again.","""%1"" は ""%2"" の子ではありません。問題を解決してからもう一度試してください。"
"The element ""%1"" can't have a parent because ""%2"" is already the parent of ""%1"".","""%2"" は既に ""%1"" の親なので、要素 ""%1"" に親を持つことはできません。"
"The element ""%1"" is already a child of ""%2"".","要素 ""%1"" は既に ""%2"" の子です。"
"The element ""%1"" can't have a child because ""%1"" already has a child with alias ""%2"".","要素 ""%1"" にはエイリアス ""%2"" を持つ子が既に存在するので、要素 ""%1"" に子を持つことはできません。"
"Encryption key must be 32 character string without any white space.","暗号化キーは空白を含まない 32 文字の文字列でなければなりません。"
"One or more input exceptions have occurred while processing bulk.","一括処理中に 1 つ以上の入力例外が発生しました。"
"Invalid parameter given. A valid $fileId[tmp_name] is expected.","無効なパラメータが指定されました。有効な $fileId[tmp_name] が必要です。"
"Path ""%1"" cannot be used with directory ""%2""","パス ""%1"" をディレクトリ ""%2"" と一緒に使用することはできません。"
"The path ""%1"" is not writable.","パス ""%1"" は書き込み可能ではありません。"
"An error occurred during ""%1"" execution.","""%1"" の実行中にエラーが発生しました。"
"The contents from the ""%1"" file can't be read. %2","""%1"" ファイルの内容は読み取れません。%2"
"A symlink for ""%1"" can't be created and placed to ""%2"". %3","""%1"" のシンボリック・リンクを作成して ""%2"" に配置できません。%3"
"The ""%1"" file can't be deleted. %2","""%1"" ファイルは削除できません。%2"
"The permissions can't be changed for the ""%1"" path. %2.","""%1"" パスのパーミッションは変更できません。%2."
"The ""%1"" file or directory can't be touched. %2","""%1"" ファイルまたはディレクトリはタッチできません。%2"
"The specified ""%1"" file couldn't be written. %2","指定された ""%1"" ファイルを書き込めませんでした。%2"
"The ""%1"" CSV handle is incorrect. Verify the handle and try again.","""%1"" CSV ハンドルが正しくありません。ハンドルを確認してから、もう一度試してください。"
"An error occurred during ""%1"" fileSeek execution.","""%1"" fileSeek 実行中にエラーが発生しました。"
"An error occurred during ""%1"" fileClose execution.","""%1"" fileClose 実行中にエラーが発生しました。"
"An error occurred during ""%1"" filePutCsv execution.","""%1"" filePutCsv 実行中にエラーが発生しました。"
"An error occurred during ""%1"" fileFlush execution.","""%1"" fileFlush 実行中にエラーが発生しました。"
"An error occurred during ""%1"" fileLock execution.","""%1"" fileLock 実行中にエラーが発生しました。"
"An error occurred during ""%1"" fileUnlock execution.","""%1"" fileUnlock 実行中にエラーが発生しました。"
"The download URL is incorrect. Verify and try again.","ダウンロード URL が正しくありません。確認してから再試行してください。"
"Stream get line failed %1",ストリーム取得行に失敗しました。
"Unable to list current working directory.",現在の作業ディレクトリをリストアップできません。
"Unable to list current working directory. Access forbidden.",現在の作業ディレクトリをリストアップできません。アクセスは禁止されています。
"The specified host is empty. Set the host and try again.",指定したホストが空です。ホストを設定して再試行してください。
"The FTP connection couldn't be established because of an invalid host or port.",ホストまたはポートが無効なため、FTP接続を確立できませんでした。
"The username or password is invalid. Verify both and try again.",ユーザ名またはパスワードが無効です。両方を確認してから再度試してください。
"The path is invalid. Verify and try again.",パスが無効です。確認の上、再度お試しください。
"The file transfer mode is invalid. Verify and try again.",ファイル転送モードが無効です。検証してからもう一度試してください。
"Enum type ""%1"" not defined","列挙型 ""%1"" が定義されていません。"
"%1 operator not supported","%1 演算子はサポートされていません。"
"Can't support nested operators",入れ子になった演算子をサポートできない
"Nesting ""OR"" node type not supported","ネスティング ""OR ""ノード型はサポートされていません。"
"Sub nesting of %1 is not supported","%1 のサブ入れ子はサポートされていません。"
"No mapping to Webonyx type is declared for '%1' config element type.","%1' config 要素タイプの '%1' に対して Webonyx タイプへのマッピングが宣言されていません。"
"Unsupported image format. File: %1","サポートされていない画像形式です。ファイル: %1"
"Unable to create watermark.",透かしを作成できません。
"Required PHP extension 'Imagick' was not loaded.","必要な PHP 拡張モジュール 'Imagick' がロードされませんでした。"
"Circular dependency references from '%indexerId' to '%relatedIndexerId'.","indexerId' から '%relatedIndexerId' への循環型依存関係参照。"
"Dependency declaration '%relatedIndexerId' in '%indexerId' to the non-existing indexer.","indexerId' 内の依存性宣言 '%relatedIndexerId' は、存在しないインデクサへの依存性宣言 '%relatedIndexerId' です。"
"%1 indexer does not exist.","1 つのインデクサは存在しません。"
"Memory size allocated for the temporary table is more than 20% of innodb_buffer_pool_size. Please update innodb_buffer_pool_size or decrease batch size value (which decreases memory usages for the temporary table). Current batch size: %1; Allocated memory size: %2 bytes; InnoDB buffer pool size: %3 bytes.","一時テーブルに割り当てられたメモリ・サイズが innodb_buffer_pool_size の 20% を超えています。innodb_buffer_pool_size を更新するか、バッチ・サイズの値を減らしてください (これにより一時テーブルのメモリ使用量が減少します)。現在のバッチ・サイズ: %1、割り当てられたメモリ・サイズ: %2 バイト、InnoDB バッファ・プール・サイズ: %3 バイト。"
"The path needs to be a non-empty string.",パスは空でない文字列である必要があります。
"Cannot create the directory for locks: %1",ロック用のディレクトリを作成できません。
"Cannot verify that the lock exists.",ロックが存在することを確認できません。
"The host needs to be a non-empty string.",ホストは空でない文字列である必要があります。
"Failed creating the path %1","パス %1 の作成に失敗しました。"
"Failed creating lock %1","ロック %1 の作成に失敗しました。"
"Zookeeper connection timed out!","Zookeeper 接続がタイムアウトしました。"
"Unknown locks provider: %1",不明なロック・プロバイダです。%1
"php extension Zookeeper is not installed.","php 拡張モジュール Zookeeper がインストールされていない。"
"Unknown template type",不明なテンプレートの種類
"Invalid range given.",無効な範囲が指定されました。
"The configuration for the ""%1"" type is incorrect. Verify the type and configuration and try again.","""%1"" タイプの構成が正しくありません。タイプと構成を確認してから、もう一度試してください。"
"The connection is invalid. Verify the connection and try again.",接続が無効です。接続を検証してから、もう一度試してください。
"The query is invalid. Verify the query and try again.",クエリは無効です。クエリを検証してから、再度試してください。
"The write connection to the database isn't available. Please try again later.",データベースへの書き込み接続が利用できません。後でもう一度試してください。
"Table status for %1 is incorrect. Can`t fetch version id.","%1 のテーブル・ステータスが正しくありません。バージョン ID をフェッチできません。"
"View's identifier is not set",ビューの識別子が設定されていません。
"The signature is invalid. Verify and try again.",署名が無効です。検証してからもう一度試してください。
"The ""%1"" Oauth version isn't supported.","""%1"" Oauth バージョンはサポートされていません。"
"Type Error occurred when creating object: %type","オブジェクトの作成時に型エラーが発生しました: %type"
"The ""%value"" value's type is invalid. The ""%type"" type was expected. Verify and try again.","value"" 値の型が無効です。type"" の型は期待されていました。検証してから再度試してください。"
"The request query and filters aren't set. Verify the query and filters and try again.",要求クエリとフィルタが設定されていません。クエリとフィルタを検証して、もう一度試してください。
"A cycle was found. The ""%1"" query is already used in the request hierarchy.","サイクルが見つかりました。要求階層で ""%1"" クエリが既に使用されています。"
"A cycle was found. The ""%1"" filter is already used in the request hierarchy.","サイクルが見つかりました。要求階層で ""%1"" フィルタが既に使用されています。"
"The bucket type is invalid. Verify and try again.",バケット・タイプが無効です。検証してから再度試してください。
"The database storage table doesn't exist. Verify the table and try again.",データベース・ストレージ・テーブルが存在しません。テーブルを検証してから、もう一度試してください。
"The ""%1"" session value is invalid. Verify and try again.","""%1"" セッション値は無効です。検証してからもう一度試してください。"
"The rollback file is invalid. Verify the file and try again.",ロールバック・ファイルが無効です。ファイルを検証してから、もう一度試してください。
"The rollback file doesn't exist. Verify the file and try again.",ロールバック・ファイルは存在しません。ファイルを検証してからもう一度試してください。
"Can`t read foreign keys from current database",現在のデータベースから外部キーを読み込めません
"Cannot find columns for internal index",内部インデックスの列が見つからない
"Column %1 does not exist for index/constraint %2 in table %3.","列 %1 がテーブル %3 のインデックス/制約 %2 に存在しません。"
"Patch %1 should implement DataPatchInterface","パッチ %1 は DataPatchInterface を実装する必要があります。"
"Unable to apply data patch %1 for module %2. Original exception message: %3","データ・パッチ %1 をモジュール %2 に適用できません。元の例外メッセージです。%3"
"Unable to apply patch %1 for module %2. Original exception message: %3","モジュール %2 にパッチ %1 を適用できません。元の例外メッセージです。%3"
"The exec function is disabled.","exec 機能は無効になっています。"
"The cookie with ""%name"" cookieName couldn't be deleted.","cookieName が ""%name"" のクッキーは削除できませんでした。"
"The cookie with ""%name"" cookieName couldn't be sent. Please try again later.","cookieName が ""%name"" のクッキーを送信できませんでした。後でもう一度試してください。"
"The format type is invalid. Verify the format type and try again.",フォーマットの種類が無効です。フォーマット・タイプを確認してから、もう一度試してください。
"The DateTime object timezone needs to be the same as the ""%1"" timezone in config.","DateTime オブジェクトのタイムゾーンは、構成の ""%1"" タイムゾーンと同じにする必要があります。"
"Could not append time to DateTime","DateTime に時間を追加できませんでした。"
"The transition year isn't included in the system date range. Verify the year date range and try again.",移行年がシステムの日付範囲に含まれていません。年の日付範囲を確認してから、もう一度試してください。
"The ""%1"" block threw an exception, and it can't be rendered.","""%1"" ブロックが例外をスローしました。"
"The ""componentType"" configuration parameter is required for the ""%1"" component.","""%1"" コンポーネントには ""componentType"" 構成パラメータが必要です。"
"An error occurred with the UI component. Each component needs context. Verify and try again.","UI コンポーネントでエラーが発生しました。各コンポーネントにはコンテキストが必要です。確認してから、もう一度試してください。"
"Theme layout update file '%1' is not valid.\n%2","テーマ・レイアウト更新ファイル '%1' は有効ではありません。"
"Please correct the XSD data and try again. %value%",XSDデータを修正して再度お試しください。値
"This class needs to inherit from a class ""Template"". Verify the class and try again.",このクラスは「Template」というクラスを継承する必要があります。クラスを確認して、もう一度試してみてください。
"Processed schema file is not valid.",処理されたスキーマファイルが無効です。
"Please correct the XSD data and try again.",XSDデータを修正して再度お試しください。
"An empty custom attribute is specified. Enter the attribute and try again.",空のカスタム属性が指定されています。属性を入力して再度お試しください。
"A custom attribute is specified with a missing attribute code. Verify the code and try again.",カスタム属性が指定されていますが、属性コードが欠落しています。コードを確認して再度お試しください。
"The ""' . . '"" attribute code doesn't have a value set. Enter the value and try again.","'' . . '""の属性コードに値が設定されていません。値を入力して再度試してください。"
"At least one Company entity is required to create Negotiable Quote",交渉可能な見積書を作成するには、少なくとも1つの会社のエンティティが必要です。
"Not enough Quotes to be converted into Negotiable Quotes",交渉可能な名言に変換されるほどの名言ではない
"The consumer isn't authorized to access %1.","消費者は %1 にアクセスする権限がありません。"
"""%1"" is not a valid mock response type for country ""%2"".","""%1"" は国 ""%2"" に対して有効なモック応答タイプではありません。"
"%1 is not a valid destination country.","1 は有効な宛先国ではありません。"
"Directory separator ""\" is prohibited in fixture declaration.","ディレクトリ・セパレータ ""\" はフィクスチャ宣言で禁止されています。"
"Collection size after clearing the products: %size",製品をクリアした後のコレクション・サイズ。サイズ
"Input type ""wrong_input_type"" not found in the input types list.","入力タイプ ""wrong_input_type"" が入力タイプリストに見つかりません。"
"An attribute set named 'Default' already exists.","Default' という名前の属性セットが既に存在しています。"
"Fixture type is not specified for resolver",フィクスチャ・タイプがリゾルバに指定されていません
"Can't find registered Module with name %1 .","名前 %1 で登録されたモジュールが見つかりません。"
"Fixture resolver should not have test before test run",フィクスチャリゾルバがテスト実行前にテストをしてはいけない
"Modifier %s does not exists","修飾子 %s が存在しません。"
"No such entity with id = %entityId","id = %entityId でそのようなエンティティはありません。"
"Attribute group with same code already exist. Please rename &quot;attribute-group-name&quot; group",同じコードの属性グループが既に存在します。属性グループの名前を変更してください。
"{{store url=""%1""}}","{{store url=""%1""}}}。"
"<p>line1</p>\nline2",<p>line1</p>line2
"The ""Name"" attribute value is empty. Set the attribute and try again.",名前」属性の値が空です。属性を設定して、もう一度やってみてください。
"Missed values for option required fields\nInvalid option type","Missed values for option required fieldsオプション必須フィールドの値が不足しています。"
"Invalid option value",無効なオプション値
"Missed values for option required fields",オプションの必須フィールドの値が間違っている
stock_status,かぶしきステータス
"A total of 3 record(s) were updated.",合計3つのレコードが更新されました。
"No such entity with addressId = 1","addressId = 1 のエンティティはありません。"
"Not found",見つかりませんでした。
"Session Exception",セッション例外
"New product data is added to the existing product data for the existing entries in the database. All fields except sku can be updated.",データベース内の既存のエントリーに対して、既存の商品データに新しい商品データが追加されます。sku以外のすべてのフィールドを更新することができます。
"The existing product data is replaced with new data. <b>Exercise caution when replacing data because the existing product data will be completely cleared and all references in the system will be lost.</b>",既存の商品データを新しいデータに置き換えます。<b>既存の製品データは完全にクリアされ、システム内のすべての参照が失われるため、データを置き換える際には注意が必要です。
"Any entities in the import data that already exist in the database are deleted from the database.",データベースに既に存在するインポートデータ内のエンティティは、データベースから削除されます。
"Response message from PayPal gateway",PayPalゲートウェイからの応答メッセージ
"The response format was incorrect. Should be valid HTML",応答形式が正しくありませんでした。有効なHTMLでなければなりません。
"Declined response message from PayPal gateway",PayPalゲートウェイからの拒否応答メッセージ
"Order Date: %1","注文日: %1"
"Transaction has been declined.",取引が拒否されました。
"Your %1 order confirmation",お客様の%1注文確認
"Update to your %1 credit memo",あなたの%1クレジットメモの更新
"Credit memo for your %1 order",ご注文の%1のクレジットメモ
"Update to your %1 invoice","請求書 %1 を更新します。"
"Invoice for your %1 order",ご注文の%1の請求書
"Transaction declined.",取引が辞退しました。
"We can&#039;t find a synonym group to delete.",削除する同義語グループが見つかりません。
"You can't send messages more than 5 times an hour.",1時間に5回以上メッセージを送信することはできません。
"Update to your %1 shipment",あなたの%1出荷に更新します。
"Your %1 order has shipped",あなたの%1の注文は出荷されました
"Password Reset Confirmation for %1","1 のパスワード・リセット確認"
"Cannot add product without stock to wishlist.",在庫のない商品をウィッシュリストに追加できません。
"Invalid URL path: %1","無効な URL パス: %1"
"'NOTE: Manual static content deployment is not required in ""default"" and ""developer"" modes.' . . 'In ""default"" and ""developer"" modes static contents are being deployed automatically on demand.' . . 'If you still want to deploy in these modes, use -f option: ' . ""'bin/magento setup:static-content:deploy -f'""","'注意: ""default"" および ""developer"" モードでは、手動による静的コンテンツの展開は必要ありません。. . 'default"" および ""developer"" モードでは、要求に応じて静的コンテンツが自動的に展開されます。. . 'これらのモードでもデプロイしたい場合は、-f オプションを使用してください: ' . ""'bin/magento setup:static-content:deploy -f'"""
"%1 failed. See previous output.","1 に失敗しました。前の出力を参照してください。"
"The configurable product's SKU pattern must be unique in an attribute set.","構成可能な製品の SKU パターンは、属性セットで一意でなければなりません。"
"The configurable product config is invalid. Verify the product and try again.",構成可能な製品の構成が無効です。製品を検証してから、もう一度試してください。
"The amount of images to generate wasn't specified. Enter the amount and try again.",生成する画像の量が指定されていませんでした。量を入力して再度試してください。
"The amount of images per product wasn't specified. Enter the amount and try again.",商品ごとの画像の量が指定されていませんでした。量を入力して再試行してください。
"Cannot generate entities - error occurred during template creation: %1","エンティティを生成できません - テンプレート作成中にエラーが発生しました: %1"
"Cannot save entity. Error occurred: %1",実体を保存できません。エラーが発生しました。%1
"The entity ID field for the ""%1"" table wasn't found. Verify the field and try again.","""%1"" テーブルのエンティティ ID フィールドが見つかりませんでした。フィールドを検証して、再度試してください。"
"The primary key for the ""%1"" table wasn't found. Verify the key and try again.","""%1"" テーブルの主キーが見つかりませんでした。キーを検証してから、もう一度試してください。"
"The ""%1"" path is invalid. Verify the path and try again.","""%1"" パスが無効です。パスを検証してから、もう一度試してください。"
"Error during compilation",コンパイル中にエラーが発生しました。
Wholesale,卸売り
Retailer,小売業者
". ' Wish List'",". お気に入りリスト'"
". ' Click <a href=""http://localhost/test"">here</a> to continue shopping.'",". ' <a href=""http://localhost/test"">こちら</a>をクリックしてお買い物を続けてください。"
"You submitted Return",リターンを提出しました。
"Unable to send mail",メールが送れない
"This item needs to be assigned to a store view.
                Please select a website for this product in ""Product in Websites"".","この商品はストアビューに割り当てる必要があります。
                ウェブサイトの商品」でこの商品のウェブサイトを選択してください。"
"Could not find user profile id: %id.","ユーザ・プロファイル ID: %id が見つかりませんでした。"
"Could not retrieve assets.",アセットを取得できませんでした。
"Could not delete Adobe Stock asset with id %id","id %id で Adobe Stock アセットを削除できませんでした。"
"An error occurred during adobe stock asset save.","adobe stock asset の保存中にエラーが発生しました。"
"Could not delete Adobe Stock asset category with id %id","id %id を持つ Adobe Stock 資産カテゴリを削除できませんでした。"
"Could not delete Adobe Stock asset creator with id %id","id %id で Adobe Stock 資産作成者を削除できませんでした。"
"Uploaded Locally",ローカルでアップロード
"Could not load related assets for asset id: %id","アセット ID: %id の関連資産をロードできませんでした。"
"Could not save image.",画像を保存できませんでした。
"Could not save media gallery asset.",メディアギャラリーアセットを保存できませんでした。
"Could not save image: destination directory is restricted.","画像を保存できませんでした: 保存先のディレクトリが制限されています。"
"Could not save image: unsupported file type.","画像を保存できませんでした: サポートされていないファイル・タイプです。"
"Command ""%1"" was not found.","コマンド ""%1"" が見つかりませんでした。"
"Failed to synchronize data to the Magento Business Intelligence service. ","データを Magento Business Intelligence サービスに同期できませんでした。"
"Task ""%1"": ","タスク ""%1""。"
"Invalid security or form key. Please refresh the page.",無効なセキュリティ・キーまたはフォーム・キーです。ページをリフレッシュしてください。
"Return to ",戻る
"Privacy Policy",個人情報保護方針
"Backup functionality is disabled",バックアップ機能が無効
"Dynamic Block disabled",ダイナミックブロック無効
"Invalid Request",無効な要求
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.",ダイナミックブロックローテータがダイナミックブロック自体を参照しないことを確認してください。
"""option_id"" and ""parent_id"" values should be specified","""option_id"" と ""parent_id"" の値を指定する必要があります。"
"Value must contain ""model"" property.","値には ""model ""プロパティが含まれている必要があります。"
"""sku"" value should be specified","""sku"" の値を指定する必要があります。"
"Authentication Failed. Your card issuer cannot authenticate this card. Please select another card or form of payment to complete your purchase.",認証に失敗しました。お客様のカード発行会社はこのカードを認証できません。別のカードまたは支払い方法を選択して購入を完了してください。
"Customer with id ""%customer_id"" does not exist.","id ""%customer_id"" を持つ顧客は存在しません。"
Dayclears,デイクレアーズ
"Cannot resolve aggregation option type",アグリゲーションオプションのタイプを解決できない
"Invalid match filter. Minimum length is %1.","無効な一致フィルタです。最小長は %1 です。"
"CategoryFilterInput type not defined in schema.","スキーマで定義されていない CategoryFilterInput 型です。"
"Attribute label: ",属性ラベル。
"Cannot resolve layered filter type",レイヤード・フィルタ・タイプを解決できません。
"Invalid format provided. Please use 'Y-m-d H:i:s' format.","無効なフォーマットが提供されています。Y-m-d H:i:s' 形式を使用してください。"
"Cannot resolve type",タイプを解決できません。
"""path"" value should be specified","""パスの値を指定する必要があります。"
"Category doesn't exist",カテゴリが存在しない
"Category image not found.",カテゴリ画像が見つかりません。
"""image_type"" value should be specified","""image_typeの値を指定してください。"
"%1 type not defined in schema.","%1 型はスキーマで定義されていません。"
"Invalid match filter",無効な一致フィルタ
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: %1","custom_options' 属性の 'type' サブ属性の値に不正な値が含まれています。%1"
"Could not parse resource url.","リソースの URL を解析できませんでした。"
"Import images directory must be writable in order to process remote images.",リモート画像を処理するには、インポート画像ディレクトリが書き込み可能でなければなりません。
"The requested qty is not available",要求された数量が利用できません
"Default product collection strategy not found",デフォルトの製品収集戦略が見つかりません
"Disable Notice",無効化通知
"Please enter a valid price range.",有効な価格帯を入力してください。
"Search is not supported in preview mode.",プレビューモードでの検索はサポートされていません。
"Problem with creating product update.",製品の更新を作成する際の問題。
"Can not change the visibility of the product with SKU equals ""%1"". URL key ""%2"" for specified store already exists.","SKU が ""%1"" に等しい商品の表示を変更できません。指定されたストアの URL キー ""%2"" が既に存在します。"
"The default date is invalid.",既定の日付が無効です。
"Message is added to queue",メッセージがキューに追加されました。
"Update attributes for ' . . ' selected products",選択した製品の属性を更新します。
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.",エラーが発生したため、属性を保存できませんでした。情報を確認してから再度お試しください。エラーが続く場合は、後でもう一度お試しください。
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.",エラーが発生したため、属性を検証できませんでした。お客様の情報を確認してから、もう一度お試しください。エラーが続く場合は、後でもう一度お試しください。
"The value of attribute(s) ""%1"" must be unique","属性 ""%1"" の値は一意である必要があります。"
"Selected layout update is not available",選択したレイアウトの更新ができない
"Sorry, something went wrong during product attributes update. Please see log for details.",申し訳ありませんが、商品属性の更新中に何か問題が発生しました。詳しくはログをご覧ください。
"Custom layout update text cannot be changed, only removed",カスタムレイアウトの更新テキストは変更できず、削除のみ
"Not allowed to edit the category's design attributes",カテゴリのデザイン属性の編集が許可されていない
"The category doesn't contain the specified products.",カテゴリには指定された製品が含まれていません。
"Could not save products ""%products"" to category %category","製品 ""%products"" をカテゴリ %category に保存できませんでした。"
"Tier prices data should be array, but actually other type is received",ティア価格データは配列であるべきだが、実際には他の型を受信している
"Not allowed to edit the product's design attributes",製品のデザイン属性の編集を許可されていない
"Full file path is expected.",フル・ファイル・パスが必要です。
"Price indexer ""%1"" must implement %2 or %3","価格インデクサ ""%1"" は %2 または %3 を実装する必要があります。"
"%1: Line %2","%1: 行 %2"
"Please select at least one product to add to cart",カートに追加する商品を1つ以上選択してください。
"Page Not Found",ページが見つかりません
"Something went wrong while saving the page. Please refresh the page and try again.",ページの保存中に何か問題が発生しました。ページを更新してから再度お試しください。
"The shipping information was unable to be saved. Error: ""%message""","配送情報を保存できませんでした。エラーが発生しました。""%message"""
"""identifiers"" of CMS blocks should be specified","""CMSブロックの「識別子」を指定する必要があります。"
"""Page id/identifier should be specified","""ページID/識別子を指定してください"
"Can't create %1 as subdirectory of %2, you might have some permission issue.","%1 を %2 のサブディレクトリとして作成できない、パーミッションの問題があるかもしれません。"
"You are not allowed to change CMS pages design settings",CMSページのデザイン設定を変更することはできません。
"Invalid Custom Layout Update selected",無効なカスタムレイアウトの更新が選択されています。
"Page ""%id"" doesn't have custom layout assigned","ページ ""%id"" にカスタム・レイアウトが割り当てられていません。"
"Required field ""%1"" is empty.","必須フィールド ""%1"" は空です。"
"Layout update is invalid",レイアウトの更新は無効です。
"Custom layout update is invalid",カスタムレイアウトの更新が無効
"We can't upload the file to current folder right now. Please try another folder.",現在のフォルダにファイルをアップロードすることができません。別のフォルダを試してみてください。
"Oh no. That isn't right.",あーあ、ダメだ。これは正しくありません。
"Invalid format",無効な形式です。
" (disabled)"," 不能"
" - Duplicated"," - 複製"
"VAT/TAX ID: ","VAT/TAX ID."
"Re-seller ID: ",再販売者ID:
"Could not find specified product.",指定された商品が見つかりませんでした。
"Required parameter ""cart_id"" is missing","必須パラメータ ""cart_id ""がありません"
"Required parameter ""cart_items"" is missing","必須パラメータ ""cart_items ""がありません。"
"The value of attribute """"%1"""" must be unique","属性 """"%1"""" の値は一意でなければなりません。"
"Please correct the value for file extensions.",ファイル拡張子の値を修正してください。
"Alphanumeric with spaces",スペースを含む英数字
"No forms to use in specified to show attribute on a storefront. Please select one at least.","店頭で属性を表示するために指定したフォームで使用するフォームはありません。少なくとも 1 つを選択してください。"
"Required parameter ""%1"" is missing","必須パラメータ ""%1"" がありません"
"Please specify a valid customer",有効な顧客を指定してください
"We refunded %1 to Store Credit",1%をストアクレジットに返金しました。
"Comma separated. Forbidden file extensions: %1.","カンマで区切られています。禁止されているファイル拡張子: %1。"
"Attribute code already exists",属性コードは既に存在します。
"The current customer isn't authorized.",現在の顧客は許可されていません。
"Required parameters are missing: %1","必要なパラメータが見つかりません: %1"
"Customer Address %1 is set as default billing address and can not be deleted","顧客アドレス %1 は既定の請求先アドレスとして設定されており、削除できません。"
"Customer Address %1 is set as default shipping address and can not be deleted","顧客アドレス %1 は既定の配送先住所として設定されており、削除できません。"
"Could not find a address with ID ""%address_id""","ID ""%address_id"" のアドレスが見つかりませんでした。"
"Current customer does not have permission to address with ID ""%address_id""","現在の顧客は ID ""%address_id"" でアドレスを許可されていません。"
"The region_id does not match the selected country or region","region_id が選択した国または地域と一致しません。"
"A region_id is required for the specified country code",指定した国コードにはregion_idが必要です。
"The specified region is not a part of the selected country or region",指定された地域は、選択された国や地域の一部ではありません。
"Provide the current ""password"" to change ""email"".","""電子メール""を変更するための""現在のパスワード""を指定します。"
"Specify the ""currentPassword"" value.","""currentPassword""の値を指定します。"
"Specify the ""newPassword"" value.","""newPassword""の値を指定します。"
"""input"" value should be specified","""input ""の値を指定する"
"Specify the ""email"" value.","""メール""の値を指定します。"
"Specify the ""password"" value.","""パスワード""の値を指定します。"
"Email must be specified",メールアドレスは必ず指定してください。
"Email is invalid",電子メールが無効です
"You must specify an email address.",メールアドレスを指定する必要があります。
"The email address has an invalid format.",メールアドレスの形式が無効です。
"Cannot reset the customer's password",お客様のパスワードをリセットできない
"The account is locked",アカウントがロックされている
"resetPasswordToken must be specified",resetPasswordTokenを指定する必要があります。
"newPassword must be specified",newPasswordを指定する必要があります。
"Cannot set the customer's password",お客様のパスワードが設定できない
"Address ""id"" value must be specified","アドレス ""id""の値を指定する必要があります。"
"""input"" value must be specified","""入力""の値を指定する必要があります。"
"Customer not logged in",ログインしていないお客様
"Last Updated At",最終更新日
"No files for upload.",アップロードするファイルがありません。
"There is no address id in setting default billing address.",デフォルトの請求先アドレスの設定にアドレスIDがありません。
"Default billing address has been changed.",デフォルトの請求先アドレスが変更されました。
"We can't change default billing address right now.",現在、デフォルトの請求先住所を変更することはできません。
"There is no address id in setting default shipping address.",デフォルトの配送先住所の設定にアドレスIDがありません。
"Default shipping address has been changed.",デフォルトの配送先住所が変更されました。
"We can't change default shipping address right now.",現在、デフォルトの配送先住所を変更することはできません。
"There is no such address entity to delete.",削除するアドレスの実体がありません。
"We can't mass delete the addresses right now.",現在、アドレスを大量に削除することはできません。
"Customer address has been updated.",お客様の住所が更新されました。
"New customer address has been added.",新しい顧客アドレスが追加されました。
"There is no customer with such id.",そのようなIDを持つ顧客は存在しません。
"We can't change customer address right now.",現在、顧客アドレスを変更することはできません。
